idi,name,birth_year,birth_month,birth_day,gender,registration_id,athletic_score,leadership_score,talent_score,gpa,class_assigned,selected_activity,grade_level,talent,olympiad_scores,subject_specialization,fitness_score,sports_category,subject,mentor_grade,mentor_class,judge
2022,Helen Davis,2010,5,15,Female,12022,0.0,3.1,3.4,6.6,8B,Talent,8,singing,,,,,,,,
2023,Joseph Gonzalez,2008,1,17,Male,12023,3.5,2.2,6.8,7.5,10A,Talent,10,dance,,,,,,,,
2024,Thomas Smith,2009,7,23,Male,12024,6.0,2.5,6.5,7.8,9A,Scholar,9,,71-72-95,science,,,,,,
2025,Richard Taylor,2012,2,14,Male,12025,7.3,8.4,6.9,9.0,6C,Scholar,6,,76-97-63,mathematics,,,,,,
2026,Michelle Moore,2011,10,14,Female,12026,2.1,2.8,3.9,9.3,7C,Scholar,7,,58-73-84,science,,,,,,
2027,Daniel Smith,2008,6,13,Male,12027,9.4,7.3,6.8,8.0,10C,Talent,10,dance,,,,,,,,
2028,Maria Smith,2009,12,11,Female,12028,2.3,4.5,2.3,7.2,9C,Sports,9,,,,87.0,chess,,,,
2029,John Williams,2006,9,12,Male,12029,3.9,6.4,9.1,7.0,12B,Talent,12,singing,,,,,,,,
2030,Andrew Gonzalez,2008,11,8,Male,12030,0.4,1.2,2.6,7.4,10A,Talent,10,dance,,,,,,,,
2031,Emma Gonzalez,2008,5,22,Female,12031,1.5,0.8,3.3,10.0,10A,Sports,10,,,,94.5,cricket,,,,
2032,Helen Jackson,2010,3,16,Female,12032,1.6,5.8,1.0,6.9,8A,Sports,8,,,,66.6,cricket,,,,
2033,John Davis,2009,6,19,Male,12033,7.8,0.0,2.0,9.7,9C,Scholar,9,,76-58-76,mathematics,,,,,,
2034,David Smith,2010,1,25,Male,12034,0.1,2.9,2.9,6.4,8B,Scholar,8,,98-77-51,science,,,,,,
2035,Daniel Jackson,2009,5,15,Male,12035,6.9,8.4,7.9,8.5,9C,Talent,9,singing,,,,,,,,
2036,James Miller,2010,9,2,Male,12036,7.9,1.3,9.1,7.8,8C,Talent,8,dance,,,,,,,,
2037,Maria Johnson,2008,8,25,Female,12037,7.3,7.7,6.6,9.1,10A,Talent,10,singing,,,,,,,,
2038,Linda Brown,2009,9,3,Female,12038,7.5,1.5,2.8,7.7,9A,Sports,9,,,,71.9,cricket,,,,
2039,Helen Rodriguez,2012,3,11,Female,12039,0.4,0.4,2.2,6.5,6C,Scholar,6,,82-84-77,science,,,,,,
2040,Elizabeth Moore,2011,8,18,Female,12040,7.8,5.4,8.3,7.3,7C,Talent,7,dance,,,,,,,,
2041,Mary Rodriguez,2008,3,23,Female,12041,3.3,8.8,3.5,6.6,10B,Talent,10,drama,,,,,,,,
2042,Matthew Rodriguez,2008,4,2,Male,12042,4.6,7.2,3.4,9.7,10A,Sports,10,,,,55.5,chess,,,,
2043,Charles Williams,2012,6,14,Male,12043,7.7,8.3,6.7,6.9,6B,Talent,6,drama,,,,,,,,
2044,Thomas Martinez,2012,4,1,Male,12044,1.0,0.4,4.4,7.7,6A,Scholar,6,,54-57-68,science,,,,,,
2045,Laura Rodriguez,2011,7,8,Female,12045,2.8,0.4,4.9,7.1,7C,Talent,7,drama,,,,,,,,
2046,Susan Moore,2010,1,28,Female,12046,7.9,8.0,7.1,6.0,8A,Talent,8,drama,,,,,,,,
2047,Samantha Hernandez,2011,8,3,Female,12047,1.3,5.9,0.2,8.1,7A,Scholar,7,,92-66-68,science,,,,,,
2048,Barbara Moore,2008,10,20,Female,12048,3.3,2.5,1.8,8.7,10B,Scholar,10,,58-57-62,science,,,,,,
2049,Elizabeth Taylor,2009,2,2,Female,12049,7.7,4.0,1.8,7.8,9A,Sports,9,,,,80.7,cricket,,,,
2050,Barbara Martin,2012,3,17,Female,12050,2.6,6.7,2.5,9.5,6B,Sports,6,,,,67.4,cricket,,,,
2051,Michael Thomas,2011,6,11,Male,12051,6.8,5.6,1.9,8.7,7A,Sports,7,,,,75.2,chess,,,,
2052,Daniel Rodriguez,2010,3,27,Male,12052,7.8,1.3,2.9,9.3,8B,Talent,8,drama,,,,,,,,
2053,Christine Jackson,2010,5,23,Female,12053,6.1,3.9,5.2,8.9,8A,Scholar,8,,82-69-100,science,,,,,,
2054,Anna Garcia,2009,12,17,Female,12054,0.4,4.8,5.8,6.0,9B,Sports,9,,,,60.2,chess,,,,
2055,Sandra Lopez,2006,7,1,Female,12055,2.2,4.5,3.0,8.6,12C,Scholar,12,,50-94-81,science,,,,,,
2056,Jennifer Taylor,2012,6,25,Female,12056,5.8,3.6,5.8,8.2,6C,Sports,6,,,,81.9,cricket,,,,
2057,Patricia Lopez,2010,9,10,Female,12057,1.5,3.1,0.5,7.0,8C,Scholar,8,,80-50-77,mathematics,,,,,,
2058,Anna Jones,2011,6,2,Female,12058,3.1,4.6,9.0,8.0,7A,Scholar,7,,65-56-52,mathematics,,,,,,
2059,Jennifer Taylor,2011,5,19,Female,12059,2.1,1.8,6.2,9.0,7A,Scholar,7,,97-51-61,mathematics,,,,,,
2060,Patricia Smith,2010,4,11,Female,12060,3.2,1.5,7.9,6.5,8A,Sports,8,,,,54.3,cricket,,,,
2061,Andrew Smith,2006,2,9,Male,12061,2.7,3.3,1.5,9.7,12A,Talent,12,singing,,,,,,,,
2062,Elizabeth Martin,2008,12,1,Female,12062,6.4,4.3,8.4,8.0,10C,Sports,10,,,,75.2,cricket,,,,
2063,Patricia Garcia,2011,10,25,Female,12063,8.2,8.8,0.2,8.8,7C,Scholar,7,,74-85-81,science,,,,,,
2064,Thomas Martin,2007,2,7,Male,12064,2.0,2.0,9.2,6.1,11B,Scholar,11,,86-57-82,mathematics,,,,,,
2065,Mary Wilson,2012,10,21,Female,12065,2.1,4.1,7.2,8.5,6A,Sports,6,,,,56.2,cricket,,,,
2066,Maria Wilson,2008,6,9,Female,12066,1.8,8.8,5.9,9.8,10B,Sports,10,,,,97.1,cricket,,,,
2067,Daniel Williams,2006,3,19,Male,12067,4.1,5.7,4.3,7.4,12C,Scholar,12,,64-65-58,science,,,,,,
2068,Mary Anderson,2010,2,1,Female,12068,3.1,4.0,1.1,9.7,8A,Scholar,8,,93-98-72,science,,,,,,
2069,John Moore,2012,12,10,Male,12069,4.9,8.1,4.0,6.3,6A,Scholar,6,,65-59-69,science,,,,,,
2070,James Thomas,2007,1,7,Male,12070,0.3,1.0,4.9,7.1,11A,Talent,11,dance,,,,,,,,
2071,Jennifer Brown,2006,3,16,Female,12071,4.5,0.1,5.3,7.5,12C,Sports,12,,,,59.2,cricket,,,,
2072,Jessica Gonzalez,2008,10,1,Female,12072,4.0,7.9,8.1,8.6,10C,Talent,10,singing,,,,,,,,
2073,Jennifer Hernandez,2008,9,13,Female,12073,6.1,6.7,8.4,7.1,10C,Talent,10,drama,,,,,,,,
2074,Anthony Martin,2009,1,27,Male,12074,6.1,1.8,8.5,6.2,9A,Scholar,9,,57-98-76,mathematics,,,,,,
2075,Maria Martin,2012,8,8,Female,12075,4.9,1.6,3.3,7.9,6B,Sports,6,,,,97.3,chess,,,,
2076,Daniel Garcia,2007,9,20,Male,12076,3.3,4.9,7.5,7.4,11A,Scholar,11,,86-61-68,science,,,,,,
2077,Richard Martin,2012,12,17,Male,12077,0.5,3.4,1.9,7.7,6C,Scholar,6,,97-65-50,science,,,,,,
2078,Jessica Thomas,2006,6,8,Female,12078,1.8,4.5,2.2,6.1,12A,Scholar,12,,64-85-56,science,,,,,,
2079,David Brown,2007,7,25,Male,12079,4.7,9.2,5.2,8.3,11B,Sports,11,,,,63.3,cricket,,,,
2080,Donald Miller,2007,8,27,Male,12080,1.0,5.2,1.5,6.4,11C,Talent,11,drama,,,,,,,,
2081,Emma Taylor,2011,7,9,Female,12081,5.6,4.5,2.3,8.4,7A,Sports,7,,,,54.9,chess,,,,
2082,David Smith,2007,8,18,Male,12082,8.1,0.6,2.0,9.7,11B,Scholar,11,,53-60-52,mathematics,,,,,,
2083,William Moore,2008,11,18,Male,12083,9.3,6.5,8.9,7.5,10B,Sports,10,,,,72.2,chess,,,,
2084,William Wilson,2009,3,5,Male,12084,5.0,1.0,7.9,7.7,9C,Talent,9,drama,,,,,,,,
2085,Sandra Johnson,2009,5,2,Female,12085,1.7,6.8,8.8,8.5,9C,Talent,9,singing,,,,,,,,
2086,David Johnson,2011,5,11,Male,12086,9.4,1.7,4.6,7.0,7B,Talent,7,drama,,,,,,,,
2087,Michelle Jackson,2008,7,22,Female,12087,7.0,2.3,1.6,8.8,10A,Scholar,10,,95-88-92,science,,,,,,
2088,Michelle Smith,2009,2,1,Female,12088,3.2,4.7,1.3,9.3,9B,Sports,9,,,,74.6,chess,,,,
2089,Robert Brown,2007,10,26,Male,12089,1.7,8.6,0.3,9.8,11B,Scholar,11,,65-99-64,mathematics,,,,,,
2090,Karen Taylor,2009,8,22,Female,12090,7.5,7.3,8.0,7.8,9C,Talent,9,dance,,,,,,,,
2091,Mark Jackson,2007,7,25,Male,12091,7.2,8.3,5.4,7.9,11A,Scholar,11,,58-92-58,science,,,,,,
2092,David Martin,2007,10,4,Male,12092,6.3,1.6,1.6,7.3,11A,Sports,11,,,,54.5,chess,,,,
2093,Jennifer Davis,2009,10,19,Female,12093,6.9,5.4,2.3,9.5,9A,Talent,9,drama,,,,,,,,
2094,John Williams,2007,12,1,Male,12094,8.1,0.5,7.2,8.9,11C,Talent,11,drama,,,,,,,,
2095,Lisa Martinez,2011,3,27,Female,12095,3.0,0.5,0.9,6.3,7C,Talent,7,drama,,,,,,,,
2096,Michelle Jackson,2011,4,1,Female,12096,0.9,0.8,5.3,7.9,7B,Scholar,7,,79-100-66,science,,,,,,
2097,Susan Lopez,2010,3,22,Female,12097,3.7,6.0,5.1,7.8,8C,Talent,8,dance,,,,,,,,
2098,Richard Taylor,2012,3,15,Male,12098,7.1,6.2,7.0,6.5,6C,Scholar,6,,51-59-51,mathematics,,,,,,
2099,Robert Thomas,2009,2,11,Male,12099,0.1,7.2,6.3,6.9,9A,Scholar,9,,74-82-86,science,,,,,,
2100,Samantha Martinez,2012,5,27,Female,12100,3.2,6.6,4.2,9.7,6A,Sports,6,,,,59.0,cricket,,,,
2101,Samantha Moore,2011,2,19,Female,12101,8.1,5.7,8.3,7.1,7A,Talent,7,drama,,,,,,,,
2102,Elizabeth Rodriguez,2006,1,13,Female,12102,4.0,6.7,8.4,7.2,12A,Scholar,12,,85-55-53,mathematics,,,,,,
2103,John Rodriguez,2007,11,13,Male,12103,1.0,0.5,9.1,8.1,11B,Sports,11,,,,54.6,chess,,,,
2104,Thomas Smith,2011,7,2,Male,12104,5.6,3.9,2.0,7.7,7B,Scholar,7,,80-65-88,science,,,,,,
2105,Michael Martin,2006,4,25,Male,12105,1.6,2.8,0.9,8.0,12A,Talent,12,drama,,,,,,,,
2106,Michelle Garcia,2008,3,24,Female,12106,6.4,2.1,6.0,7.3,10C,Talent,10,drama,,,,,,,,
2107,Elizabeth Hernandez,2007,12,24,Female,12107,8.5,8.4,1.6,7.9,11C,Sports,11,,,,60.2,chess,,,,
2108,Emma Taylor,2008,1,13,Female,12108,9.2,6.6,3.7,10.0,10C,Talent,10,singing,,,,,,,,
2109,Linda Davis,2012,11,17,Female,12109,5.6,0.3,0.1,8.4,6C,Sports,6,,,,51.6,chess,,,,
2110,Michael Moore,2007,2,21,Male,12110,3.0,1.0,0.3,8.8,11A,Scholar,11,,86-79-77,science,,,,,,
2111,Michelle Moore,2007,12,28,Female,12111,5.1,1.3,0.4,6.7,11B,Sports,11,,,,63.4,cricket,,,,
2112,Kenneth Johnson,2007,3,12,Male,12112,0.8,3.8,5.9,8.1,11B,Talent,11,singing,,,,,,,,
2113,Lisa Wilson,2006,10,23,Female,12113,6.7,9.2,5.1,7.4,12A,Sports,12,,,,51.2,cricket,,,,
2114,Sandra Jones,2008,2,26,Female,12114,7.4,8.0,4.5,8.7,10A,Scholar,10,,53-72-73,science,,,,,,
2115,Barbara Davis,2006,11,3,Female,12115,3.0,6.2,4.1,6.6,12A,Scholar,12,,80-86-64,mathematics,,,,,,
2116,Anna Wilson,2009,1,24,Female,12116,8.7,2.0,3.7,9.1,9C,Scholar,9,,74-61-54,science,,,,,,
2117,Paul Jones,2011,4,27,Male,12117,4.7,7.8,3.3,6.9,7B,Sports,7,,,,70.5,chess,,,,
2118,John Miller,2008,1,25,Male,12118,3.7,2.1,8.9,9.3,10A,Sports,10,,,,60.5,chess,,,,
2119,Donald Jackson,2012,7,19,Male,12119,6.0,8.8,4.1,6.1,6C,Sports,6,,,,77.0,cricket,,,,
2120,Linda Taylor,2009,6,1,Female,12120,0.4,9.0,1.2,9.5,9A,Sports,9,,,,87.9,cricket,,,,
2121,Maria Williams,2010,3,9,Female,12121,8.9,7.8,2.2,9.1,8B,Scholar,8,,56-55-73,mathematics,,,,,,
2122,Donald Wilson,2011,1,24,Male,12122,6.8,9.1,4.4,8.6,7C,Sports,7,,,,59.0,chess,,,,
2123,Laura Moore,2010,7,27,Female,12123,1.6,0.4,0.2,8.8,8C,Talent,8,singing,,,,,,,,
2124,Laura Hernandez,2008,3,2,Female,12124,5.9,0.1,4.7,7.5,10A,Sports,10,,,,63.9,chess,,,,
2125,Kenneth Lopez,2006,9,6,Male,12125,8.5,2.4,8.7,9.4,12C,Scholar,12,,68-93-85,science,,,,,,
2126,Jessica Brown,2010,7,24,Female,12126,6.3,3.8,3.2,7.6,8A,Scholar,8,,57-84-53,science,,,,,,
2127,Anna Rodriguez,2006,3,27,Female,12127,7.7,3.3,3.9,9.0,12C,Sports,12,,,,67.9,chess,,,,
2128,Patricia Johnson,2012,5,12,Female,12128,9.1,8.2,5.4,7.5,6B,Talent,6,drama,,,,,,,,
2129,Sandra Moore,2011,7,6,Female,12129,0.2,1.7,4.3,9.7,7A,Talent,7,drama,,,,,,,,
2130,Laura Garcia,2008,10,15,Female,12130,9.1,4.0,3.8,6.9,10A,Scholar,10,,62-72-55,science,,,,,,
2131,Christine Miller,2008,10,27,Female,12131,5.3,5.5,5.7,8.8,10B,Sports,10,,,,84.3,cricket,,,,
2132,Michelle Martinez,2009,12,3,Female,12132,8.0,2.3,0.7,7.8,9A,Talent,9,singing,,,,,,,,
2133,Paul Martin,2011,9,21,Male,12133,4.6,5.6,5.3,7.7,7C,Sports,7,,,,62.8,cricket,,,,
2134,Patricia Rodriguez,2012,4,6,Female,12134,8.5,8.9,5.1,6.4,6C,Scholar,6,,70-99-94,science,,,,,,
2135,Samantha Rodriguez,2007,9,3,Female,12135,1.7,7.2,8.5,6.6,11B,Sports,11,,,,86.5,cricket,,,,
2136,Donald Garcia,2012,7,14,Male,12136,0.4,7.2,8.4,7.6,6C,Sports,6,,,,74.7,cricket,,,,
2137,William Smith,2006,12,25,Male,12137,7.7,8.4,3.6,8.1,12B,Scholar,12,,59-55-82,mathematics,,,,,,
2138,Emma Johnson,2011,1,5,Female,12138,4.2,4.5,4.9,7.4,7A,Talent,7,singing,,,,,,,,
2139,Mary Martin,2011,9,2,Female,12139,2.5,6.5,8.9,7.1,7B,Sports,7,,,,79.2,chess,,,,
2140,Andrew Martinez,2007,5,19,Male,12140,3.2,9.4,6.3,6.1,11B,Sports,11,,,,71.4,cricket,,,,
2141,Samantha Miller,2006,11,7,Female,12141,4.6,3.2,6.1,9.9,12A,Sports,12,,,,50.7,cricket,,,,
2142,Emma Jones,2011,5,22,Female,12142,3.9,8.8,4.5,8.5,7A,Sports,7,,,,51.5,cricket,,,,
2143,Jennifer Martin,2011,1,24,Female,12143,5.3,8.1,1.5,7.3,7C,Talent,7,drama,,,,,,,,
2144,Laura Johnson,2009,10,27,Female,12144,7.9,8.9,6.6,7.7,9C,Sports,9,,,,77.7,cricket,,,,
2145,Helen Martinez,2012,6,18,Female,12145,8.2,3.2,4.8,10.0,6C,Scholar,6,,72-75-95,science,,,,,,
2146,Emma Thomas,2009,11,8,Female,12146,1.6,2.2,7.4,8.2,9A,Sports,9,,,,65.1,chess,,,,
2147,Linda Wilson,2006,3,9,Female,12147,9.2,4.0,0.9,9.7,12C,Sports,12,,,,79.0,chess,,,,
2148,Michelle Jones,2007,12,23,Female,12148,1.1,7.6,3.7,6.2,11C,Sports,11,,,,77.6,chess,,,,
2149,Jennifer Garcia,2011,5,21,Female,12149,7.4,1.0,4.0,9.3,7C,Talent,7,singing,,,,,,,,
2150,Samantha Williams,2007,5,27,Female,12150,8.4,3.6,7.1,8.1,11A,Talent,11,drama,,,,,,,,
2151,Mary Garcia,2011,1,5,Female,12151,1.0,5.7,8.5,9.4,7B,Sports,7,,,,79.8,chess,,,,
2152,David Martinez,2008,7,17,Male,12152,3.5,5.8,4.8,9.4,10C,Talent,10,drama,,,,,,,,
2153,Joseph Thomas,2010,4,5,Male,12153,0.3,3.9,6.4,8.7,8A,Scholar,8,,69-65-51,mathematics,,,,,,
2154,Patricia Gonzalez,2008,2,23,Female,12154,8.3,6.8,8.2,7.5,10A,Sports,10,,,,54.8,cricket,,,,
2155,Mark Gonzalez,2007,4,12,Male,12155,7.6,2.0,4.2,7.1,11A,Scholar,11,,51-65-51,science,,,,,,
2156,Anthony Wilson,2007,8,13,Male,12156,9.3,6.2,6.4,7.2,11A,Scholar,11,,62-80-96,mathematics,,,,,,
2157,Laura Brown,2006,4,10,Female,12157,2.8,6.8,0.9,6.5,12B,Scholar,12,,65-57-59,science,,,,,,
2158,Michelle Thomas,2009,12,14,Female,12158,3.7,6.9,8.9,6.9,9A,Sports,9,,,,97.4,chess,,,,
2159,Elizabeth Lopez,2008,5,20,Female,12159,6.9,6.4,1.1,9.6,10C,Sports,10,,,,84.8,cricket,,,,
2160,Maria Smith,2008,8,26,Female,12160,2.0,7.1,8.3,7.8,10A,Sports,10,,,,69.4,chess,,,,
2161,Anthony Davis,2010,9,14,Male,12161,9.4,9.2,3.6,8.7,8C,Sports,8,,,,92.8,chess,,,,
2162,Laura Garcia,2011,3,9,Female,12162,7.6,4.9,3.4,7.0,7C,Talent,7,singing,,,,,,,,
2163,Donald Jones,2008,4,20,Male,12163,2.8,6.4,1.5,10.0,10C,Scholar,10,,80-92-95,mathematics,,,,,,
2164,Andrew Gonzalez,2011,11,8,Male,12164,7.5,7.7,1.5,8.3,7C,Talent,7,dance,,,,,,,,
2165,Richard Wilson,2009,2,13,Male,12165,6.7,6.7,0.3,7.6,9A,Sports,9,,,,70.2,chess,,,,
2166,Susan Martin,2012,9,14,Female,12166,0.3,0.2,4.4,9.4,6B,Sports,6,,,,74.8,cricket,,,,
2167,Patricia Miller,2009,7,2,Female,12167,8.0,1.0,5.6,6.7,9B,Talent,9,drama,,,,,,,,
2168,Susan Garcia,2011,6,13,Female,12168,3.0,3.1,5.1,9.8,7A,Sports,7,,,,69.9,cricket,,,,
2169,Anna Jackson,2007,8,7,Female,12169,2.4,4.5,4.1,9.7,11C,Sports,11,,,,89.5,cricket,,,,
2170,Sarah Davis,2011,12,21,Female,12170,7.2,2.0,0.8,7.4,7C,Scholar,7,,50-58-83,science,,,,,,
2171,Paul Garcia,2010,8,1,Male,12171,6.2,1.6,6.7,6.5,8A,Talent,8,dance,,,,,,,,
2172,Joseph Martin,2009,8,20,Male,12172,5.3,0.7,5.6,7.6,9B,Talent,9,drama,,,,,,,,
2173,Karen Miller,2008,1,15,Female,12173,2.9,0.9,9.0,9.4,10B,Sports,10,,,,72.7,cricket,,,,
2174,Joseph Anderson,2009,5,4,Male,12174,0.4,6.6,3.8,8.7,9A,Talent,9,dance,,,,,,,,
2175,Steven Anderson,2007,5,17,Male,12175,5.6,4.5,6.8,9.9,11B,Scholar,11,,54-58-82,mathematics,,,,,,
2176,Emma Wilson,2007,9,5,Female,12176,3.7,6.9,2.3,6.4,11C,Talent,11,dance,,,,,,,,
2177,Thomas Jackson,2010,9,25,Male,12177,8.7,5.7,5.7,9.8,8C,Talent,8,dance,,,,,,,,
2178,Helen Martinez,2009,3,11,Female,12178,0.4,2.0,1.6,7.6,9A,Sports,9,,,,77.2,chess,,,,
2179,David Gonzalez,2009,1,28,Male,12179,4.0,3.5,5.5,9.6,9A,Talent,9,dance,,,,,,,,
2180,Thomas Brown,2010,10,14,Male,12180,8.6,4.8,6.8,6.7,8A,Talent,8,drama,,,,,,,,
2181,James Rodriguez,2009,9,6,Male,12181,7.6,3.1,0.6,6.3,9B,Talent,9,dance,,,,,,,,
2182,Elizabeth Williams,2012,8,12,Female,12182,0.1,0.9,7.4,6.5,6A,Scholar,6,,86-63-91,science,,,,,,
2183,Elizabeth Jones,2011,8,17,Female,12183,3.5,4.2,6.6,9.9,7B,Scholar,7,,55-72-54,science,,,,,,
2184,Helen Anderson,2011,10,12,Female,12184,1.6,2.3,3.4,6.5,7B,Talent,7,dance,,,,,,,,
2185,David Brown,2011,1,4,Male,12185,8.1,4.7,0.4,8.7,7A,Talent,7,drama,,,,,,,,
2186,Mark Smith,2011,9,2,Male,12186,0.5,7.9,8.4,6.6,7B,Scholar,7,,68-69-54,mathematics,,,,,,
2187,Donald Miller,2009,6,12,Male,12187,8.0,5.3,8.9,9.9,9C,Scholar,9,,69-62-75,mathematics,,,,,,
2188,Mary Smith,2010,10,4,Female,12188,8.3,4.9,6.5,7.4,8A,Scholar,8,,65-60-92,science,,,,,,
2189,James Miller,2012,8,24,Male,12189,1.7,3.4,3.9,6.9,6A,Scholar,6,,96-61-90,science,,,,,,
2190,Kenneth Thomas,2012,2,16,Male,12190,0.3,1.8,7.5,8.0,6B,Sports,6,,,,68.4,cricket,,,,
2191,Maria Williams,2006,3,3,Female,12191,4.1,8.3,7.6,9.5,12C,Sports,12,,,,69.2,chess,,,,
2192,Christine Lopez,2007,8,11,Female,12192,1.9,2.0,6.9,7.7,11B,Talent,11,singing,,,,,,,,
2193,Joseph Anderson,2011,6,25,Male,12193,4.6,8.4,7.4,6.1,7C,Talent,7,drama,,,,,,,,
2194,Samantha Hernandez,2011,1,8,Female,12194,5.9,0.2,2.7,6.2,7A,Talent,7,drama,,,,,,,,
2195,Sarah Brown,2008,5,25,Female,12195,0.3,0.9,2.0,7.0,10B,Sports,10,,,,95.6,cricket,,,,
2196,Maria Brown,2009,8,24,Female,12196,8.2,5.6,2.7,7.9,9A,Talent,9,singing,,,,,,,,
2197,Paul Gonzalez,2007,5,5,Male,12197,4.4,3.9,4.2,9.9,11A,Talent,11,singing,,,,,,,,
2198,Steven Davis,2012,1,19,Male,12198,0.0,0.4,6.4,8.4,6C,Scholar,6,,55-90-97,mathematics,,,,,,
2199,Sandra Smith,2008,11,8,Female,12199,2.6,5.5,7.9,9.3,10B,Scholar,10,,85-98-61,mathematics,,,,,,
2200,Samantha Martinez,2006,10,16,Female,12200,7.0,4.6,1.9,6.8,12C,Sports,12,,,,87.4,chess,,,,
2201,Michael Jackson,2006,7,26,Male,12201,3.2,4.5,6.9,9.2,12A,Talent,12,drama,,,,,,,,
2202,Emma Garcia,2011,8,21,Female,12202,6.7,0.5,0.2,7.8,7B,Talent,7,singing,,,,,,,,
2203,David Wilson,2008,5,18,Male,12203,8.6,7.9,9.3,9.8,10A,Sports,10,,,,54.0,chess,,,,
2204,Donald Williams,2007,4,12,Male,12204,6.2,9.1,4.8,7.7,11A,Scholar,11,,84-66-90,mathematics,,,,,,
2205,James Hernandez,2012,3,6,Male,12205,0.1,7.3,3.3,8.7,6B,Scholar,6,,68-66-59,mathematics,,,,,,
2206,Daniel Brown,2008,8,2,Male,12206,6.0,8.9,4.9,7.0,10B,Sports,10,,,,81.5,cricket,,,,
2207,Barbara Brown,2006,3,3,Female,12207,6.9,3.8,8.0,8.1,12B,Sports,12,,,,77.0,chess,,,,
2208,Daniel Martin,2008,9,6,Male,12208,6.2,9.2,6.0,8.9,10C,Scholar,10,,76-78-96,mathematics,,,,,,
2209,Richard Wilson,2010,4,6,Male,12209,7.3,5.2,2.8,7.3,8A,Talent,8,drama,,,,,,,,
2210,Paul Hernandez,2008,1,15,Male,12210,0.6,6.6,9.2,6.2,10C,Talent,10,singing,,,,,,,,
2211,Richard Jackson,2008,4,25,Male,12211,9.1,9.2,6.8,7.9,10C,Talent,10,singing,,,,,,,,
2212,Samantha Lopez,2012,4,1,Female,12212,7.6,4.9,5.8,6.5,6B,Scholar,6,,78-97-83,science,,,,,,
2213,Barbara Jackson,2012,7,1,Female,12213,7.1,7.8,5.2,8.3,6B,Sports,6,,,,74.1,chess,,,,
2214,Anna Johnson,2012,8,18,Female,12214,4.0,2.6,3.2,8.1,6B,Scholar,6,,65-57-96,science,,,,,,
2215,Mark Davis,2011,8,19,Male,12215,5.9,5.6,9.0,9.4,7B,Scholar,7,,76-61-75,science,,,,,,
2216,Patricia Rodriguez,2007,3,14,Female,12216,8.6,1.5,3.0,8.4,11A,Sports,11,,,,58.5,chess,,,,
2217,Susan Thomas,2010,12,19,Female,12217,0.3,3.2,7.3,6.8,8B,Sports,8,,,,51.8,cricket,,,,
2218,Charles Gonzalez,2007,12,10,Male,12218,5.6,6.3,2.2,8.0,11A,Talent,11,dance,,,,,,,,
2219,Donald Davis,2012,6,19,Male,12219,1.4,5.7,2.6,9.0,6B,Talent,6,drama,,,,,,,,
2220,Barbara Gonzalez,2006,12,27,Female,12220,7.5,8.1,4.9,6.3,12A,Scholar,12,,52-72-52,science,,,,,,
2221,Steven Thomas,2006,7,3,Male,12221,8.3,3.0,4.3,8.3,12C,Sports,12,,,,60.1,chess,,,,
2222,Steven Thomas,2008,11,9,Male,12222,8.3,5.7,2.9,9.7,10A,Scholar,10,,65-51-51,science,,,,,,
2223,Laura Taylor,2010,2,23,Female,12223,3.9,2.9,1.8,8.3,8A,Scholar,8,,95-56-64,science,,,,,,
2224,William Martinez,2010,12,9,Male,12224,2.4,3.0,0.4,6.9,8A,Sports,8,,,,76.0,chess,,,,
2225,Anthony Gonzalez,2011,7,25,Male,12225,7.4,8.3,8.7,7.4,7B,Sports,7,,,,67.0,chess,,,,
2226,Maria Taylor,2008,7,22,Female,12226,5.1,8.9,1.5,7.8,10C,Scholar,10,,67-79-79,mathematics,,,,,,
2227,Robert Brown,2006,4,5,Male,12227,1.0,8.8,5.0,7.3,12C,Sports,12,,,,73.2,cricket,,,,
2228,Michael Davis,2012,12,13,Male,12228,4.5,0.6,5.2,8.2,6B,Sports,6,,,,59.9,cricket,,,,
2229,James Davis,2008,9,11,Male,12229,9.4,4.9,4.8,7.0,10B,Sports,10,,,,64.9,chess,,,,
2230,Barbara Davis,2012,1,21,Female,12230,7.7,4.7,9.3,9.5,6A,Talent,6,singing,,,,,,,,
2231,Elizabeth Garcia,2009,2,28,Female,12231,1.7,3.5,8.6,7.6,9A,Sports,9,,,,61.8,cricket,,,,
2232,Barbara Hernandez,2007,4,20,Female,12232,4.8,7.9,8.8,7.2,11B,Sports,11,,,,91.3,chess,,,,
2233,George Martinez,2012,1,28,Male,12233,5.5,3.5,7.6,9.3,6B,Sports,6,,,,55.5,chess,,,,
2234,Paul Jackson,2010,4,6,Male,12234,6.7,7.1,5.4,9.7,8B,Sports,8,,,,79.5,chess,,,,
2235,Jessica Moore,2012,10,22,Female,12235,8.8,1.9,5.0,7.7,6C,Sports,6,,,,82.0,cricket,,,,
2236,Paul Hernandez,2007,5,6,Male,12236,8.5,6.9,7.2,8.1,11B,Scholar,11,,74-63-89,science,,,,,,
2237,Samantha Smith,2011,4,5,Female,12237,3.2,5.9,0.1,7.8,7A,Scholar,7,,53-72-69,science,,,,,,
2238,Donald Martinez,2007,11,20,Male,12238,0.7,8.0,7.4,9.1,11C,Talent,11,singing,,,,,,,,
2239,Anna Rodriguez,2010,2,12,Female,12239,2.7,4.8,4.4,9.2,8C,Sports,8,,,,72.2,cricket,,,,
